timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1589477231817,0,-126,-2.7685546875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231817,0,104,2.28515625E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231817,0,104,2.28515625E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231818,0,-125,-2.74658203125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231818,0,-112,-2.4609375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231831,0,-120,-2.63671875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231832,0,-119,-2.6147460937500004E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231832,0,-109,-2.39501953125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231832,0,-94,-2.0654296875000002E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231833,0,-91,-1.99951171875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231833,0,-94,-2.0654296875000002E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231833,0,-102,-2.2412109374999998E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231848,0,-119,-2.6147460937500004E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231867,0,-128,-2.8125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231868,0,-124,-2.724609375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231868,0,-128,-2.8125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231868,0,115,2.52685546875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231869,0,101,2.2192382812500002E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231869,0,92,2.021484375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231869,0,90,1.9775390625E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231870,0,117,2.5708007812499998E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231884,0,-90,-1.9775390625E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231884,0,-71,-1.56005859375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231884,0,-101,-2.2192382812500002E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231885,0,-121,-2.6586914062500003E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231885,0,-88,-1.93359375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231885,0,-63,-1.38427734375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231885,0,-86,-1.8896484375000003E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231885,0,-107,-2.35107421875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231886,0,-101,-2.2192382812500002E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231886,0,-83,-1.82373046875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231886,0,-86,-1.8896484375000003E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231886,0,-109,-2.39501953125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231886,0,120,2.63671875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231887,0,-121,-2.6586914062500003E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231887,0,-77,-1.69189453125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231898,0,-46,-1.0107421875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231898,0,-38,-8.349609375E-6,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231898,0,-27,-5.9326171875000005E-6,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231898,0,259,5.69091796875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231899,0,-29,-6.3720703125E-6,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231899,0,-78,-1.7138671875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231899,0,-126,-2.7685546875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231899,0,105,2.30712890625E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231899,0,92,2.021484375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
